iter	Passed	Remaining
0	708	183422
1	1390	179352
2	2078	178015
3	2735	175060
4	3393	173090
5	4066	172157
6	4739	171303
7	5396	169975
8	6076	169464
9	6764	169108
10	7446	168552
11	8150	168444
12	8829	167762
13	9496	166866
14	10156	165885
15	10821	165022
16	11494	164297
17	12165	163560
18	12851	163014
19	13535	162425
20	14232	161979
21	14934	161563
22	15628	161043
23	16312	160407
24	17010	159899
25	17702	159323
26	18391	158715
27	19089	158166
28	19793	157666
29	20506	157220
30	21210	156685
31	21905	156077
32	22615	155567
33	23320	155009
34	24026	154457
35	24733	153894
36	25433	153287
37	26135	152686
38	26843	152112
39	27543	151488
40	28249	150894
41	29003	150540
42	29715	149957
43	30415	149310
44	31121	148692
45	31820	148032
46	32520	147381
47	33221	146729
48	33917	146052
49	34691	145704
50	35406	145095
51	36126	144504
52	36845	143907
53	37570	143323
54	38289	142713
55	38988	142030
56	39684	141332
57	40379	140632
58	41077	139943
59	41773	139245
60	42466	138537
61	43167	137857
62	43869	137179
63	44573	136506
64	45266	135799
65	45958	135089
66	46655	134395
67	47352	133701
68	48046	132998
69	48741	132298
70	49434	131593
71	50135	130909
72	50826	130199
73	51517	129489
74	52222	128816
75	52939	128169
76	53658	127526
77	54376	126877
78	55080	126196
79	55791	125531
80	56488	124831
81	57203	124174
82	57941	123561
83	58647	122879
84	59355	122203
85	60053	121502
86	60752	120806
87	61450	120108
88	62142	119397
89	62834	118687
90	63533	117991
91	64232	117294
92	64927	116589
93	65620	115883
94	66313	115175
95	67013	114481
96	67709	113779
97	68399	113068
98	69092	112363
99	69788	111662
100	70487	110965
101	71196	110284
102	71901	109597
103	72597	108896
104	73293	108194
105	73990	107495
106	74702	106817
107	75398	106115
108	76090	105409
109	76794	104719
110	77492	104021
111	78188	103320
112	78888	102625
113	79580	101918
114	80283	101227
115	80988	100536
116	81718	99877
117	82439	99206
118	83149	98521
119	83860	97837
120	84584	97166
121	85302	96489
122	86035	95828
123	86744	95139
124	87452	94448
125	88154	93751
126	88855	93053
127	89589	92388
128	90352	91752
129	91076	91076
130	91812	90410
131	92513	89710
132	93223	89017
133	93931	88323
134	94641	87630
135	95349	86935
136	96049	86233
137	96760	85541
138	97516	84888
139	98255	84219
140	98966	83524
141	99665	82820
142	100367	82119
143	101074	81420
144	101775	80718
145	102482	80020
146	103197	79328
147	103954	78667
148	104668	77974
149	105380	77279
150	106083	76576
151	106788	75876
152	107490	75173
153	108187	74466
154	108898	73769
155	109593	73062
156	110291	72357
157	110986	71649
158	111678	70940
159	112376	70235
160	113086	69537
161	113779	68829
162	114478	68125
163	115179	67421
164	115875	66716
165	116571	66010
166	117271	65307
167	117971	64603
168	118666	63897
169	119367	63194
170	120076	62495
171	120773	61791
172	121465	61083
173	122162	60378
174	122920	59704
175	123660	59019
176	124361	58316
177	125088	57624
178	125830	56939
179	126569	56253
180	127295	55559
181	128000	54857
182	128693	54149
183	129396	53446
184	130096	52741
185	130798	52037
186	131535	51348
187	132254	50650
188	132983	49956
189	133701	49258
190	134414	48558
191	135135	47860
192	135854	47161
193	136573	46463
194	137288	45762
195	137995	45059
196	138700	44355
197	139397	43649
198	140109	42948
199	140820	42246
200	141517	41539
201	142219	40835
202	142922	40130
203	143649	39433
204	144363	38731
205	145072	38028
206	145766	37321
207	146469	36617
208	147188	35916
209	147899	35214
210	148598	34508
211	149297	33803
212	150012	33101
213	150720	32397
214	151444	31697
215	152159	30995
216	152870	30292
217	153583	29589
218	154290	28885
219	154995	28181
220	155690	27474
221	156383	26768
222	157092	26064
223	157793	25359
224	158493	24654
225	159211	23952
226	159919	23248
227	160635	22545
228	161338	21840
229	162060	21138
230	162793	20437
231	163492	19731
232	164188	19026
233	164883	18320
234	165578	17614
235	166277	16909
236	166989	16205
237	167699	15501
238	168400	14796
239	169103	14091
240	169808	13387
241	170513	12682
242	171221	11978
243	171928	11273
244	172633	10569
245	173340	9864
246	174046	9160
247	174768	8456
248	175467	7751
249	176155	7046
250	176856	6341
251	177555	5636
252	178257	4932
253	178952	4227
254	179658	3522
255	180365	2818
256	181082	2113
257	181785	1409
258	182482	704
259	183183	0
